path,image_id,acquisition_prefix,split,path_label,path_cell_type,path_day_bucket,metadata_label_raw,metadata_cell_type,metadata_day_bucket,metadata_present,cell_type_matches,day_bucket_matches,size_bytes,width,height,mode,sha256,dhash256
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_1.png,221123_1,221123,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2794612,2048,1536,RGB,8e1e4a7060d42fb8d89f96947bc7b02535f9d2d078cd258ed6ec576495faa113,5f95d9d128018c009562859023829368c670cbf446b43252dae4d68c462f265d
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_2.png,221123_2,221123,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2957834,2048,1536,RGB,8598c4feee3930c655fc6343555066ee4543408ccb6c7da9c24cc5da57645456,0083108301ff7de2f873d8ce8d09a70a9d024941a8c4e991d0c9544f1d476e3b
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_7.png,221123_7,221123,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2821443,2048,1536,RGB,a5ea9de8767305b069ec2825ff3362f9f4170d406cf7b66309206d9244440e27,011724fc0df81b043ac47cc874d066e862e84ad992b5d07cb2549452443a8001
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_9.png,221123_9,221123,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2761918,2048,1536,RGB,7774f0d5470bc7e195d5de74ed39b286c1f0c3f328a4131d00b5af3806994abd,480080031fbff39d21483458a53105e036c462c6413231344d2d8cdba07b6a6f
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230109_125.png,230109_125,230109,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2422382,2048,1536,RGB,dd653b1dc30f0cf03cf951f33b3fb18124e31da68a7fa5becafa0654266f74bc,be33ad139d939f437cc379737b237a29792972815909160976c96845291cb51c
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230109_128.png,230109_128,230109,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2572067,2048,1536,RGB,cceb0ba28dab2d62277c86e4625f172f8fa7a12e474db465ba8a23c049af1ae5,9f4daccfb586b786ed86e947c4664626422765076a836883712368d326532593
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230109_97.png,230109_97,230109,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,2706311,2048,1536,RGB,fe7009c1a8a36b0ae9269b8d61dbf4acdf8f23d0f281fff1cd07db57c6762901,dd8cdf2edda79fc6bfa6bac678e67566f766f506b8e6ea66ace6ee27f903fc13
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_114.png,230525_114,230525,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,1431541,2056,1542,L,1364fb164e241bd6a16a959e3ea1fbb3a02e24eef45519372b9933cddb4edf4a,1fc39c839c031d031d231d431f831c031c031e031e031f831b8319231c431c43
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_122.png,230525_122,230525,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,1524554,2056,1542,L,f72b199172edbf8a7f65d24b788930d0546b0151e7f3423c2acf32ebc7249333,9d8b9d879d879f879c871c871d871dc71dcf9dcf9c879c879e079e071e879f87
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_123.png,230525_123,230525,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,1544749,2056,1542,L,19ae9c19f677c1dcc7895fcb917e0576e00b0955dba4ccb29f19f775a9a4cfaa,9e071d871d831d871e471e469e869e469e269a469f869f261c269d279f279f07
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_124.png,230525_124,230525,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,1525358,2056,1542,L,8da0d8dc943014d90b83e29e86ff3e8ea452375399ffec1f7b9f67631c5d4d8b,9f069f261f271e269e069d879cc69d469d071d879f879d871d879c669c669d66
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_211.png,230525_211,230525,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,1716041,2056,1542,L,e0b683e15098621f9987b491bd3319ff29887afac5e79cebd9686b6a5365d617,8f8e8f8e0f0e0e1e0e17871787178717861686068606068f860e870e860f861f
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_212.png,230525_212,230525,test,bad,A549,0-1_days,2,A549,0-1_days,True,True,True,1631181,2056,1542,L,1ddc84b03cb3f93e78d1d250f82e950f56384aa4065e12562f55e7ba9a36b951,860f868f869f869f069e869f869f869f879f079f871f861f861f861e869e869e
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/2-3_days/220606_5.png,220606_5,220606,test,bad,A549,2-3_days,2,A549,2-3_days,True,True,True,2522783,2048,1536,RGB,ff23f2158501ddc880c5facf83c17569ae70253352726a4cbe6344f8cb7360cd,05df9ffffff6ddc4dc850033c33fdf8f5e074827420f024c000e804f80efd9a8
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/2-3_days/230110_131.png,230110_131,230110,test,bad,A549,2-3_days,2,A549,2-3_days,True,True,True,2727721,2048,1536,RGB,09244b1c1df6d9a2d210c03bf56036bdaeb73d558c587a113017630fe878f4bc,929895d4918c900e9006901690069056d006d016d006d802d812c822c803d807
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/2-3_days/230110_147.png,230110_147,230110,test,bad,A549,2-3_days,2,A549,2-3_days,True,True,True,2731626,2048,1536,RGB,9fce46c341bc3fbc98b34eb20ba90baa1cc31b4396c9bd539385df51295046d8,cd47cc656477444e4883648564076405640164016401744764057409320d3403
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/220611_22.png,220611_22,220611,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,2516420,2048,1536,RGB,429a3ff98cd0fa730646a20682f35f22f4db09a21ca9858d675c0bc481bb0dcc,005d203f08179a078c0384808460016042406060d9b4f8b97cad3e6ede5627ba
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/221219_9.png,221219_9,221219,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,2990654,2048,1536,RGB,eeb835ac55867435c8ec741714bd5b465876b5483ea3b1376efe7dc548d91da4,cdb3cf93d9d1dec17729736962b12eb036b8bd8c9ecc9cbc9cbcc9d4ce36ce76
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_161.png,230425_161,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1398553,2056,1542,L,ad9758e576da0ca535cdba7f98d70b3d4a836c7fa93425585a5e47c36227f8ac,c78fc78fc78ec78ec70ec70ec70e878e870ec70ec78ec78ec78ec78ec70ec70f
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_165.png,230425_165,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1640002,2056,1542,L,6c2cb2e24b1efcc189f6e8116da4fd2f964af0b5a6d8843e08b6976fd1f48c0b,ce8e8e0eceaf8cafcdaecd8ecdee8fee87ee86eecf6ecd6e874e8eee8fae8d8e
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_166.png,230425_166,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1930319,2056,1542,L,5b1ac5968695a575a0ffc7cec5a9cabebe02e42a3fa7f45b321018d0869e7529,ce0e8e0eceaf8dafcdaecd8ecdee8fee87ee86eecf6ecd6e874e86ee8fae8dce
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_176.png,230425_176,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1434280,2056,1542,L,1598fa798414fec4ba7d9dd1196e9bcdd99c67c756ff6645577ecb1e31bce1a7,cf26cf0fcfcfcf8dcd86cda6cfc6cdc6cd86cd86cf0ecf0ecf4ece46ce8ececc
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_59.png,230425_59,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1679824,2056,1542,L,bdacfee70507e04d7c5734aff9bb51a1abc0ff6d1c4491f00129099771b89e35,9e479e479cc799c799979c8f9c8798cf1cd61c9e1d8e188e99169b2619671ac6
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_67.png,230425_67,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1666510,2056,1542,L,9a5ae84ca79708fdf9fcdd1e121ece2cd86f1de36d33fc8b810b35b90ab6fa45,2ca73ca72c072c863cc638e620e626360e1f0e0f1e0f1e0e1e0e1e0f1e0f1e0f
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_79.png,230425_79,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1420997,2056,1542,L,d1839fcaca13ac78cdc03d9cd629e8bbf9dabd4865005ccc7696cee419951dad,1839991b983b9c1b981b980f081f240b201b201b221b214b217a21bb231b231b
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_81.png,230425_81,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1470119,2056,1542,L,7375ed42ba2d35f4d9d62436b436515a8a0aeddf327552b5556e29af70d11f01,21ef233f270f251e2d8e291629162a672e672c372e972ec72e572c272d072f27
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230425_83.png,230425_83,230425,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1462770,2056,1542,L,3f6a1d1e5dc12b2708017799f3e2583b055e0e63e68d7d276eccfd4851d937d3,661e663e2c6f6c1f603c643c641e603e403e603e703e603e407d403c403f403d
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230512_43.png,230512_43,230512,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1368761,2056,1542,L,cbaea0a4442e1db158609a25ea66e87955eef4002f8c67691d12f7d4a167a492,96839f839c639c739c439f439f039f13973397339a13964396939cd39d539d52
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230512_50.png,230512_50,230512,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1682208,2056,1542,L,e2569e5e67f511ff6597725446d8d6bb0b82c9217855234e85a3d5e188cfd17f,8c728c6386e391e391e313a387e38de39cc31cc30cc38de383c313c39d479986
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230512_51.png,230512_51,230512,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1844409,2056,1542,L,8b1e7e638bebfb145468f6c6567060e72db7077aa914982205cb32d0ab7a4558,9aa29d229d439c639ee39f4396e79c479c669f4699869ba69ba69be69a469f06
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230517_47.png,230517_47,230517,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1712405,2056,1542,L,f50241d8123085c45855ef0e487d5a7993c8c7b94ef0d88f64b00f49361bc7fb,cf83cda3cd53ce53cf93ce33cc5b8ccf89c789c789c789c788c70ccf0c3bce33
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230517_55.png,230517_55,230517,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1749180,2056,1542,L,edaeab6f5eb2c95f40aa057f313969af11c94ba80c7053b4d76b38d422764413,ce63cf03ced34f934e634e634f334d83cf830fc30fb38d938f23ce23cca3cdd3
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/4+_days/230529_126.png,230529_126,230529,test,bad,A549,4+_days,2,A549,4+_days,True,True,True,1610632,2056,1542,L,a8cb49c834c24f7017839c4b238b30dc9dfb96681abbc4e9a6d1145879c5099e,39c738c73c473c033e033a8739873963392338233863182318631b6339433e03
