path,image_id,acquisition_prefix,grouped_split,target_label,target_index,cell_type,day_bucket,published_split,sha256
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_1.png,221123_1,221123,train,bad,0,A549,0-1_days,test,8e1e4a7060d42fb8d89f96947bc7b02535f9d2d078cd258ed6ec576495faa113
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_2.png,221123_2,221123,train,bad,0,A549,0-1_days,test,8598c4feee3930c655fc6343555066ee4543408ccb6c7da9c24cc5da57645456
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_7.png,221123_7,221123,train,bad,0,A549,0-1_days,test,a5ea9de8767305b069ec2825ff3362f9f4170d406cf7b66309206d9244440e27
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/221123_9.png,221123_9,221123,train,bad,0,A549,0-1_days,test,7774f0d5470bc7e195d5de74ed39b286c1f0c3f328a4131d00b5af3806994abd
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230109_125.png,230109_125,230109,train,bad,0,A549,0-1_days,test,dd653b1dc30f0cf03cf951f33b3fb18124e31da68a7fa5becafa0654266f74bc
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230109_128.png,230109_128,230109,train,bad,0,A549,0-1_days,test,cceb0ba28dab2d62277c86e4625f172f8fa7a12e474db465ba8a23c049af1ae5
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230109_97.png,230109_97,230109,train,bad,0,A549,0-1_days,test,fe7009c1a8a36b0ae9269b8d61dbf4acdf8f23d0f281fff1cd07db57c6762901
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_114.png,230525_114,230525,train,bad,0,A549,0-1_days,test,1364fb164e241bd6a16a959e3ea1fbb3a02e24eef45519372b9933cddb4edf4a
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_122.png,230525_122,230525,train,bad,0,A549,0-1_days,test,f72b199172edbf8a7f65d24b788930d0546b0151e7f3423c2acf32ebc7249333
data/raw/ooc/OOC_image_dataset/test/bad/cell_type_A549/0-1_days/230525_123.png,230525_123,230525,train,bad,0,A549,0-1_days,test,19ae9c19f677c1dcc7895fcb917e0576e00b0955dba4ccb29f19f775a9a4cfaa
